IMAGENAME	CH	ACTUAL_SPOTS	THI_HB	THI_BF	THI_HB_SPOTS	THI_BF_SPOTS	THF_HB_SPOTS	THF_BF_SPOTS
simvarmass_TMRL_6e8cb638	2	2280	906	325	370	2132	1995	2068
simvarmass_TMRL_6ef7c896	2	28	102	111	96	17653	8	2455
simvarmass_TMRL_70a83343	2	1055	161	136	914	18457	997	9053
simvarmass_TMRL_721e1aef	2	605	122	471	557	598	555	794
simvarmass_TMRL_72d333b8	2	2309	173	656	2063	2248	2237	7648
simvarmass_TMRL_79b3efaf	2	170	93	440	150	163	149	185
simvarmass_TMRL_7a76b5a4	2	767	122	557	695	762	695	2308
simvarmass_TMRL_7c6cea1c	2	1124	96	318	1007	1077	988	1049
simvarmass_TMRL_7d35c0dc	2	869	152	125	777	19826	783	6984
simvarmass_TMRL_7d3e1a6f	2	554	153	659	490	573	514	4079
simvarmass_TMRL_7d4309e5	2	1547	177	70	1349	17734	1371	2170
simvarmass_TMRL_7e9c2032	2	1299	119	387	1186	1262	1178	1245
simvarmass_TMRL_7ed3b3eb	2	845	91	486	768	824	747	1061
simvarmass_TMRL_7fab4291	2	1343	83	198	1218	1287	1212	1258
simvarmass_TMRL_7fbc4fc0	2	725	115	81	679	18282	674	4758
simvarmass_TMRL_80fee400	2	2214	181	888	1967	2132	2018	11190
simvarmass_TMRL_8160d8bc	2	1629	82	240	1463	1542	1452	1504
simvarmass_TMRL_81924417	2	1841	195	193	1602	18619	1745	12369
simvarmass_TMRL_81c5ded7	2	693	102	324	621	683	621	656
simvarmass_TMRL_833b30e6	2	906	78	299	795	856	757	833
simvarmass_TMRL_83872c3e	2	1638	93	261	1469	1553	1455	1515
simvarmass_TMRL_846117a2	2	2225	106	428	1997	2095	1928	2178
simvarmass_TMRL_853a3a38	2	2166	163	99	1800	15512	1873	5758
simvarmass_TMRL_87569aa8	2	974	130	557	863	983	858	2195
simvarmass_TMRL_879db323	2	1975	133	61	1727	16236	1723	2466
