GROUP	TARGET	SALT_CONC	BIO_REPL	TIMEPOINT	CELL_COUNT	TOOL	TH_TYPE	STACK_TRIMMED	LR_SLOPE	LR_ICEPT	PEARSON_EST	PEARSON_P	PEARSON_CI95_LO	PEARSON_CI95_HI	SPEARMAN_EST	SPEARMAN_P
38	CTT1	CTT1	0.2	1	0	1619	Big-FISH	Fixed	TRUE	0.809623077998033	0.00457191949195153	0.967952950224164	0	0.964728434659668	0.970887049628901	0.860053838887599	0
39	CTT1	CTT1	0.2	1	0	1619	Big-FISH	Variable	FALSE	0.62277294751326	0.145805891593262	0.909646911568245	0	0.900851320227879	0.917696020439805	0.898823226936513	0
40	CTT1	CTT1	0.2	1	0	1619	Big-FISH	Variable	TRUE	0.868852544723048	0.07178075806236	0.958929199436681	0	0.954817576352436	0.962673807149516	0.845131397871611	0
41	CTT1	CTT1	0.2	1	10	539	NeuertLab	Fixed	FALSE	0.755047881869692	1.26764713874706	0.983331044871847	0	0.980286047362311	0.985909061760115	0.992865313919591	0
42	CTT1	CTT1	0.2	1	10	539	NeuertLab	Fixed	TRUE	0.783132246783635	1.09424554492056	0.988341439551537	0	0.986205348736348	0.990148399029665	0.994133480808014	0
43	CTT1	CTT1	0.2	1	10	539	NeuertLab	Variable	FALSE	0.687301102950377	1.07856231700908	0.960548075778697	1.26424418959834e-300	0.953438909683772	0.966590345614294	0.97647568235195	0
44	CTT1	CTT1	0.2	1	10	539	NeuertLab	Variable	TRUE	0.51705584382618	1.16632913241335	0.709268292135221	1.38805145539655e-83	0.664624676077807	0.748865711727286	0.613278359758253	5.42258611418245e-57
45	CTT1	CTT1	0.2	1	10	539	Big-FISH	Fixed	FALSE	0.508352059214415	1.02051504458768	0.94729185768336	1.24903984335245e-267	0.937869644926179	0.955318116445796	0.96351134868355	1.48482825364338e-309
46	CTT1	CTT1	0.2	1	10	539	Big-FISH	Fixed	TRUE	0.669225204596084	0.561161941208543	0.971684998604948	0	0.966548444423792	0.976042433196186	0.980825168635451	0
47	CTT1	CTT1	0.2	1	10	539	Big-FISH	Variable	FALSE	0.66298361226552	1.79464426879116	0.970092006669307	0	0.964671649684055	0.974691442267817	0.974719313785167	0
48	CTT1	CTT1	0.2	1	10	539	Big-FISH	Variable	TRUE	0.801247199521498	1.21850568120528	0.984924483771027	0	0.982167950244288	0.987257643069068	0.984811733570834	0
49	CTT1	CTT1	0.2	1	15	556	NeuertLab	Fixed	FALSE	0.728868809114926	1.36211014457748	0.975993805239381	0	0.971700919247654	0.979642197076046	0.986208092660841	0
50	CTT1	CTT1	0.2	1	15	556	NeuertLab	Fixed	TRUE	0.763687952850927	0.961607054334583	0.979005132167643	0	0.975243997475519	0.982199993868355	0.984371362939202	0
51	CTT1	CTT1	0.2	1	15	556	NeuertLab	Variable	FALSE	0.712479242711753	1.39810667366388	0.966357322251002	0	0.960375756657917	0.971449078056095	0.981234522171098	0
52	CTT1	CTT1	0.2	1	15	556	NeuertLab	Variable	TRUE	0.759439386113658	0.565636719579401	0.976961774113938	0	0.972839605039539	0.980464511230348	0.982344784165076	0
53	CTT1	CTT1	0.2	1	15	556	Big-FISH	Fixed	FALSE	0.42087662736701	1.78965533923815	0.909675862600384	1.42700093872204e-213	0.894158952837581	0.923010367524029	0.921877046651645	2.86323078705251e-230
54	CTT1	CTT1	0.2	1	15	556	Big-FISH	Fixed	TRUE	0.680945976452663	0.754006019023215	0.965047002304808	0	0.958837342704179	0.970334080643294	0.970514994312034	0
55	CTT1	CTT1	0.2	1	15	556	Big-FISH	Variable	FALSE	0.553965080664833	2.38069136802824	0.922108052440484	1.30304655891535e-230	0.908624693626523	0.933670947460424	0.948135541390103	6.25877203156573e-278
56	CTT1	CTT1	0.2	1	15	556	Big-FISH	Variable	TRUE	0.781490481233597	1.22070254824084	0.973012187405795	0	0.968194698378794	0.977108467353117	0.977770906484737	0
57	CTT1	CTT1	0.2	1	1	702	NeuertLab	Fixed	FALSE	0.821886412290656	0.0474527417481644	0.924003357145611	1.83458630465916e-294	0.912389582494507	0.934130618720521	0.964335136374135	0
58	CTT1	CTT1	0.2	1	1	702	NeuertLab	Fixed	TRUE	0.860724962630791	0.0468734429496763	0.836877340830859	2.3140201829328e-185	0.813241419199599	0.857756592209453	0.873426930010387	6.02757636702856e-221
59	CTT1	CTT1	0.2	1	1	702	NeuertLab	Variable	FALSE	0.843015787802037	0.0935153928961961	0.905365907886142	1.35325428332694e-262	0.891065225983583	0.917870766300433	0.931133645521649	7.02955026014913e-309
60	CTT1	CTT1	0.2	1	1	702	NeuertLab	Variable	TRUE	0.951240441157907	0.0726093430583262	0.826254862295624	1.19605330656565e-176	0.801246319669677	0.848381534409454	0.847396649348617	1.24275060375869e-194
61	CTT1	CTT1	0.2	1	1	702	Big-FISH	Fixed	FALSE	0.665706684890042	0.0147414150782263	0.85087944787205	7.40636310040031e-198	0.829083604531052	0.870093217426396	0.832246088421412	1.73169195028888e-181
62	CTT1	CTT1	0.2	1	1	702	Big-FISH	Fixed	TRUE	0.60641800579881	0.0136124625288715	0.775232227209239	8.62223379300792e-142	0.743909426643135	0.80315633094437	0.767603875919811	2.28300863189033e-137
63	CTT1	CTT1	0.2	1	1	702	Big-FISH	Variable	FALSE	0.777876497052105	0.0627837465847756	0.899214010113965	1.64494502086651e-253	0.88404025879334	0.912494441017418	0.906780503987009	8.99930192083517e-265
