IMAGENAME	EXP	REP	TIME	I_NUM	CH	THVAL_HB	THSPOTS_HB	THVAL_BF	THSPOTS_BF
sctc_E2R1_40m_I2_STL1	2	1	40	2	1	104	6686	193	4753
sctc_E2R1_40m_I2_CTT1	2	1	40	2	2	131	272	127	31817
sctc_E2R1_40m_I3_STL1	2	1	40	3	1	101	6048	198	4589
sctc_E2R1_40m_I3_CTT1	2	1	40	3	2	137	177	158	32179
sctc_E2R1_40m_I4_STL1	2	1	40	4	1	102	9878	263	7581
sctc_E2R1_40m_I4_CTT1	2	1	40	4	2	148	278	417	304
sctc_E2R1_45m_I1_STL1	2	1	45	1	1	90	4060	184	3268
sctc_E2R1_45m_I1_CTT1	2	1	45	1	2	125	206	53	36493
sctc_E2R1_45m_I2_STL1	2	1	45	2	1	77	5506	212	4253
sctc_E2R1_45m_I2_CTT1	2	1	45	2	2	125	142	53	40618
