GROUP	N	SPEARMAN_EST	SPEARMAN_P	PEARSON_EST	PEARSON_CI95_LO	PEARSON_CI95_HI	PEARSON_P	LR_SLOPE	LR_YINTR	PERC_25_HB	PERC_50_HB	PERC_75_HB	MEAN_HB	STD_HB	WHISK_LO_HB	WHISK_HI_HB	PERC_25_BF	PERC_50_BF	PERC_75_BF	MEAN_BF	STD_BF	WHISK_LO_BF	WHISK_HI_BF	PERC_25_DB	PERC_50_DB	PERC_75_DB	MEAN_DB	STD_DB	WHISK_LO_DB	WHISK_HI_DB
32	sctc_E1R1C2_20min	1251	0.95375977983616	0	0.967103281479176	0.963313617255414	0.970507358014564	0	1.2747780655753	-1.3840084294135	1	5	13	9.20143884892086	11.917423795773	-17	31	2	5	12	8.30375699440448	9.04108720639841	-13	27	0	4	11	7.35011990407674	9.23682402049598	-16.5	27.5
33	sctc_E1R1C1_25min	613	0.980390063949209	0	0.97318016252153	0.968639435752231	0.977071090469515	0	1.069209057586	-0.174102361229302	4	12	23	16.3768352365416	16.1871182070886	-24.5	51.5	4	12	21	15.4796084828711	14.7333042268608	-21.5	46.5	4	11	20	14.3230016313214	13.4328422571772	-20	44
34	sctc_E1R1C2_25min	613	0.222436707660448	2.60785766903765e-08	0.138711231318278	0.060181846581261	0.215534132400848	0.000573214927651399	0.0145473174326348	1.82770295803512	0	1	3	2.33605220228385	3.84137546136523	-4.5	7.5	2	29	58	34.9445350734095	36.628190913497	-82	142	0	1	2	1.76345840130506	3.20811406640324	-3	5
35	sctc_E1R1C1_2min	707	0.876617029351259	3.69045813340881e-226	0.972939670113251	0.968698849597378	0.976612750785018	0	1.22969329288845	-0.183587115031024	0	0	1	0.519094766619519	2.39879933985239	-1.5	2.5	0	0	1	0.571428571428571	1.89794239903657	-1.5	2.5	0	1	1	0.988684582743989	2.21311743410547	-1.5	2.5
36	sctc_E1R1C2_2min	707	0.0792143270266702	0.0352173773874432	-0.00158443048883849	-0.0753104886271213	0.0721588561618858	0.966455132686828	-5.99839540681307e-05	0.412774215136711	0	0	0	0.41018387553041	1.66918695586224	0	0	1	42	71	43.1838755304102	44.0903029072691	-104	176	0	0	0	0.128712871287129	0.693236373515537	0	0
37	sctc_E1R1C1_30min	977	0.9815481907709	0	0.972955961872248	0.969392008454163	0.976109967348561	0	0.964065168171198	0.386699309441554	4	10	20	14.0562947799386	13.8673422150655	-20	44	4	10	20	14.1791197543501	13.9952295020317	-20	44	3	9	17	11.9529170931423	11.2726018035045	-18	38
38	sctc_E1R1C2_30min	977	0.364473781223878	4.63346042468981e-32	0.104609043366364	0.0421668341540428	0.166237231616754	0.00105824091443814	0.00240952813220778	0.513532213093103	0	0	1	0.578300921187308	1.07040094158549	-1.5	2.5	0	1	47	26.8802456499488	46.471181232948	-70.5	117.5	0	0	0	0.397134083930399	0.887014688039697	0	0
39	sctc_E1R1C1_35min	336	0.97251130041381	1.81459661690451e-213	0.972648701877264	0.96620533261898	0.977877385948859	7.94944862249941e-214	0.995105149678063	-0.424044562132403	1	4	10	7.15178571428571	8.52936261701026	-12.5	23.5	2	5	11	7.61309523809524	8.33688126321065	-11.5	24.5	1	4	10	7.01190476190476	7.75250607164565	-12.5	23.5
40	sctc_E1R1C2_35min	336	0.205125823589115	0.000152879009667444	0.15675619436909	0.0506107837049739	0.259399793200336	0.00397033915273841	0.00378128237515829	0.50853292829061	0	0	1	0.74702380952381	1.12965061803834	-1.5	2.5	31	57.5	88	63.0714285714286	46.8306024997587	-54.5	173.5	0	0	0	0.196428571428571	0.453956781050612	0	0
41	sctc_E1R1C1_40min	737	0.963384921379436	0	0.974135971136833	0.97016956647431	0.977580983990014	0	1.11116425973667	-0.38162397192311	1	3	9	6.90502035278155	10.0515891713952	-11	21	1	4	9	6.55766621438263	8.81203160841946	-11	21	1	3	8	6.18860244233379	8.28998743414664	-9.5	18.5
42	sctc_E1R1C2_40min	737	0.24341037843833	2.11554845130565e-11	0.159241025517666	0.0880357894779955	0.228827159055512	1.40268010295804e-05	0.00399683446891476	0.288745208831214	0	0	1	0.379918588873813	1.00110183531326	-1.5	2.5	0	3	32	22.8113975576662	39.885685570107	-48	80	0	0	0	0.122116689280868	0.713809340376399	0	0
43	sctc_E1R1C1_45min	1011	0.979191452122059	0	0.974698068009178	0.971420611460519	0.977603938877514	0	1.11160879076514	-0.326041626783289	1	4	10	7.68941641938675	11.1335936551905	-12.5	23.5	1	4	10	7.2106824925816	9.76233034127398	-12.5	23.5	1	3	9	6.83580613254204	9.24660728886316	-11	21
44	sctc_E1R1C2_45min	1011	0.20969949630383	1.64588044660302e-11	0.197824109496878	0.137850685226484	0.256352194763876	2.22302073484254e-10	0.00269348348354716	0.0905914632396983	0	0	0	0.258160237388724	0.581582152443773	0	0	30	50	85	62.2126607319486	42.7145635416899	-52.5	167.5	0	0	0	0.066271018793274	0.289348605638598	0	0
45	sctc_E1R1C1_4min	812	0.913761267802156	4.07969766396951e-319	0.964348395468471	0.959187806390327	0.96886681178158	0	1.1972251582088	-0.220104223806913	0	0	1	0.988916256157635	2.64526197339662	-1.5	2.5	0	0	1	1.00985221674877	2.13072213037634	-1.5	2.5	0	0	1	1.18226600985222	2.73692939777622	-1.5	2.5
46	sctc_E1R1C2_4min	812	0.0923440539553063	0.00846406913382779	0.120847105502484	0.0524836660995606	0.188083136070936	0.000558591331202264	0.00177394249911032	0.265127504084922	0	0	1	0.3435960591133	0.685535512554494	-1.5	2.5	11	31	62	44.2339901477833	46.701052854262	-65.5	138.5	0	0	0	0.0640394088669951	0.290986566990341	0	0
