IMGNAME	SIM_OR_EXP	TOTAL_VOXELS	MIN_TH_VAL	MIN_TH_SPOTS	TOTAL_VOX_LOG	MINTH_SPOTS_LOG	PROP
sctc_E1R1_35m_I2_STL1	Exp	103530625	1	1604260	8.015069	6.205275	0.015496
sctc_E1R1_35m_I2_CTT1	Exp	103530625	5	1463351	8.015069	6.165349	0.014134
sctc_E1R1_35m_I3_STL1	Exp	103530625	1	1604430	8.015069	6.205321	0.015497
sctc_E1R1_35m_I3_CTT1	Exp	103530625	5	1432900	8.015069	6.156216	0.013840
sctc_E1R1_35m_I4_STL1	Exp	103530625	1	1605751	8.015069	6.205678	0.015510
sctc_E1R1_35m_I4_CTT1	Exp	103530625	5	1421853	8.015069	6.152855	0.013734
sctc_E1R1_40m_I1_STL1	Exp	103530625	1	1611219	8.015069	6.207155	0.015563
sctc_E1R1_40m_I1_CTT1	Exp	103530625	5	1437919	8.015069	6.157734	0.013889
sctc_E1R1_40m_I2_STL1	Exp	103530625	1	1701255	8.015069	6.230769	0.016432
sctc_E1R1_40m_I2_CTT1	Exp	103530625	5	1402483	8.015069	6.146898	0.013547
sctc_E1R1_40m_I3_STL1	Exp	103530625	1	1248310	8.015069	6.096322	0.012057
sctc_E1R1_40m_I3_CTT1	Exp	103530625	5	1319691	8.015069	6.120472	0.012747
sctc_E1R1_40m_I4_STL1	Exp	103530625	1	1257120	8.015069	6.099377	0.012142
sctc_E1R1_40m_I4_CTT1	Exp	103530625	5	1286949	8.015069	6.109561	0.012431
sctc_E1R1_45m_I1_STL1	Exp	103530625	1	1330751	8.015069	6.124097	0.012854
sctc_E1R1_45m_I1_CTT1	Exp	103530625	5	1323341	8.015069	6.121672	0.012782
sctc_E1R1_45m_I2_STL1	Exp	103530625	1	1146654	8.015069	6.059432	0.011076
sctc_E1R1_45m_I2_CTT1	Exp	103530625	5	1189961	8.015069	6.075533	0.011494
sctc_E1R1_45m_I3_STL1	Exp	103530625	1	1219520	8.015069	6.086189	0.011779
sctc_E1R1_45m_I3_CTT1	Exp	103530625	5	1304340	8.015069	6.115391	0.012599
sctc_E1R1_45m_I4_STL1	Exp	103530625	1	1268752	8.015069	6.103377	0.012255
sctc_E1R1_45m_I4_CTT1	Exp	103530625	5	1317450	8.015069	6.119734	0.012725
sctc_E1R1_4m_I1_STL1	Exp	132519200	1	2089020	8.122279	6.319943	0.015764
sctc_E1R1_4m_I1_CTT1	Exp	132519200	5	1703047	8.122279	6.231227	0.012851
sctc_E1R1_4m_I2_STL1	Exp	115954300	1	1870906	8.064287	6.272052	0.016135
sctc_E1R1_4m_I2_CTT1	Exp	115954300	5	1517206	8.064287	6.181045	0.013085
sctc_E1R1_4m_I3_STL1	Exp	132519200	1	2046044	8.122279	6.310915	0.015440
sctc_E1R1_4m_I3_CTT1	Exp	132519200	5	1710929	8.122279	6.233232	0.012911
sctc_E1R1_4m_I4_STL1	Exp	132519200	1	2258631	8.122279	6.353845	0.017044
sctc_E1R1_4m_I4_CTT1	Exp	132519200	5	1787983	8.122279	6.252363	0.013492
