IMAGENAME	ACTUAL_SPOTS	ACTUAL_SPOTS_TRIMMED	HBTr_THRESH	HBTr_COUNT_VAR	HBTr_COUNT_FIXED	BFTr_THRESH	BFTr_COUNT_VAR	BFTr_COUNT_FIXED
simvarmass_CY5L_83bd0ca8	503	483	30	456	349	151	450	448
simvarmass_CY5L_8410b31a	462	438	37	431	363	340	425	4560
simvarmass_CY5L_897bba36	2228	2090	125	1821	1526	271	1916	2873
simvarmass_CY5L_8bf7b484	1219	1153	390	527	995	114	1081	1077
simvarmass_CY5L_8d5d518f	1978	1877	512	360	1510	116	1725	1716
simvarmass_CY5L_8e259b70	700	662	29	654	459	423	646	6429
simvarmass_CY5L_8f539d95	55	54	36	35	28	153	35	35
simvarmass_CY5L_8fe797af	1252	1187	53	1153	989	368	1151	5562
simvarmass_CY5L_903c8326	1730	1616	566	131	1042	179	1494	1485
simvarmass_CY5L_9094ab2c	2361	2233	342	674	1559	133	2010	1997
simvarmass_CY5L_917b35e1	1077	1018	33	980	714	123	957	954
simvarmass_CY5L_96198ad4	525	506	30	490	431	229	490	624
simvarmass_CY5L_96c4c192	565	534	73	513	384	214	517	549
simvarmass_CY5L_98343be9	2023	1899	619	118	1441	124	1755	1737
simvarmass_CY5L_9877a8d3	9	9	20	4	2	227	26	209
simvarmass_CY5L_99a8eb4f	2219	2107	306	1095	1618	90	1902	1893
simvarmass_CY5L_9a373e9b	357	330	27	317	261	78	305	305
simvarmass_CY5L_9ca8bccd	351	332	32	333	211	366	332	3317
simvarmass_CY5L_9d179fa5	1097	1035	357	255	654	197	955	966
simvarmass_CY5L_9d99e333	965	913	182	795	788	123	849	843
simvarmass_CY5L_9f809585	2044	1927	375	685	1509	106	1786	1778
simvarmass_CY5L_9f9145d3	2537	2384	391	614	1777	91	2128	2123
simvarmass_CY5L_9fd2384a	1710	1616	327	472	940	292	1492	2831
simvarmass_CY5L_a1312b66	362	346	25	337	247	224	345	468
simvarmass_CY5L_a430d118	434	411	30	392	316	157	389	382
simvarmass_CY5L_a4d6d0bb	705	657	34	655	468	178	647	644
simvarmass_CY5L_a6e00e93	2531	2393	153	2039	1883	136	2162	2158
simvarmass_CY5L_a8047020	699	660	32	662	442	497	646	8331
simvarmass_CY5L_a96389e6	346	324	23	320	260	109	315	314
simvarmass_CY5L_aa2d1ead	1099	1035	33	988	664	182	975	971
simvarmass_CY5L_ab31cf1e	326	311	20	295	267	101	291	289
simvarmass_CY5L_ab88b7cd	1723	1634	323	640	1159	159	1508	1501
simvarmass_CY5L_abd7139e	2059	1948	337	662	1369	204	1783	1844
simvarmass_CY5L_ad5b63fc	101	99	28	78	60	172	78	78
simvarmass_CY5L_addda019	741	695	244	378	480	167	664	662
simvarmass_CY5L_ae0bc257	895	832	397	141	474	114	780	776
simvarmass_CY5L_b001e10f	2078	1968	434	482	1584	176	1826	1815
simvarmass_CY5L_b037e931	744	706	28	692	566	194	683	689
simvarmass_CY5L_b156f56a	2067	1929	331	977	1671	128	1771	1762
